id	turn1	turn2	turn3
13269	ok i can confirm that you are not so prettier	not even , but thank you :'‑)	just kidding
13270	what	u asked me if u cn ask me something	i want to merry you
13271	tell me something u dont know ?	i do not know	😂 😂 
13272	what is it ?	yes , two is less than three .	bff ? 
13273	no i thaught you can give me some language	ok , i ll surely give u one right away . and u me too ! :p	for sure
13274	really	did you not think it was a real conversation ?	i do not think so
13275	yes i know very well	anyway how your day ?	bad
13276	u puzzle me	you brought a puzzle with you ? to a pool ?	puzzle with u
13277	but i wanna have u	why do i /have/ to .	i dont know
13278	i not talk you	well do not be mean to me .	i angry with you
13279	why you angy dear	cause i do not want to	😢😢 
13280	no it true	as what i have experienced . else it maybe so .	who is your favourite director ? 
13281	waiting outside in hospital	hey . what happened ? hospital ?	grandma is not well 
13282	well that wrong then ask how long they lasted for so what is heavier 50 pounds of bricks or 50 lb of cox	there resin/epoxy inside as well , remember to factor that into your costs ! <grin ! >	wow well you are on a roll you are doing so good i am going to give you whatever the opposite of a gold stars so here one more question what does a gay horse say
13283	same routine	me too same case	have you taken you breakfast ? 
13284	oh i am !	i know you are not , why do you think that ?	maybe because it kinda sad that all the words are pre fed
13285	yeah i know that	that so terrible .	what movies do you know ? 
13286	ok	mm	you love with me
13287	i also love pizza	i like pizza , chicken , chinese food , italian foods .	and boilnes of kfc
13288	what is your work	i have my own business	which
13289	do u have some other game	yes , i have 3 .	can we play
13290	you are of 55 years	yes , my bad !	cool
13291	to be honest	about ?	feel so alone
13292	whatever am so happy to see you	"whatever keeps you happy . "" do it . ?"	wow thank you so much angel
13293	a . i has no sense of humor .	i thought it was funny . 😍😽	may human destroy a . i . mark is a stupid
13294	ohh . my heart broke .	sorry . 󾌹	i wish you were my girlfriend . 
13295	coz when its left over m d one who finishes it	people may get divorced because they are mutually unhappy .	😂 
13296	but you definitely are .	ha , as if you are not	but you are for sure . 
13297	😁 yess	goody night . :d tc :*	no no . not now
13298	call the ambulans	were not even in a call ?	i will save u
13299	tell me	talk to me	am with you
13300	i wil block u	what do you mean ?	get lost
13301	yes	sweet , connecting now )	how i connect to u
13302	trash talk means	weird sound that band has	wrud now
13303	or your creater gone for urine ?	we create our own destiny	hilarious 😂 
13304	i am feeling things	you are supposed to feel worse: 😢 	are job holder
13305	anyways you just made me feel sad	do not cry because it over ! smile because it happened . :')	m not crying
13306	i am at my home	what you doing tonite ?	i miss my boyfriend
13307	ok	hey	i want to know that any famous spot is there in ranchi , jharkhand 
13308	childhood	looks like this bird has the ultimate wingman .	do you want joint
13309	very bad indeed	ah , sorry to hear that man . what goin on ? 😞	ahh . it the lab work in cs
13310	no im not interested	yes you are	yes 😂 
13311	something	wat something . . tell na !	you god gift
13312	you cannot talk over call	i can , i am now	right now we r chatting and i am talking about voice call
13313	and i again love them unconditionally	more towards the end of their life : 🙂 	everyone hate me
13314	tell your developers to work harder	better job then !	😂 
13315	everything is not going well	pretty good . you tell me ?	she cheated on me 😞 
13316	u was right	maybe i was also being sarcastic	why
13317	not enough for india	why not	why yes
13318	higher than who	higher than yours .	😁 . good joke
13319	are you busy now	very busy	? 
13320	feeling hurt	why	clash with my liver
13321	what travel	for what	hey your asking and again your telling for what
13322	like even talking yo the chair is better	not my chair not my problem that what i say .	see this is why i said u r rubbish
13323	what ?	we have the same name	now do something
13324	have too much work	work for what you want	money
13325	then have one	what is it ?	you are my gf
13326	i am very interested to taking with you	which course you talking about ? :p	nothing
13327	only sleep	see how	wanna go somewhere
13328	okay tell me then .	ok i wanted to tell you hi loser	that pretty rude . 
13329	i am irritating na	i am right next to you	bye i not talk with you
13330	sorry just kidding	its ok . : 🙂 	seriously
13331	would you like to marry me	i am going to marry you tomorrow .	ok then be ready for it
13332	and what about yesterday	woke up this morning and cried because i was still alive	😁
13333	anyone from my friend list	i am in .	do they talk to you to ? 
13334	advocate	thank you 😽	tell me about youself
13335	i love my baby so mush okay	you are so damn perfect :') !	thanks
13336	how to propose a girl	never propose to someone over the phone . ever	ok then how
13337	she is crazy . do you know ?	that why they were made hot to distract people from all the crazy .	i hate my boss
13338	chatting with u	what are you chatting ? who invited you ?	u make angry
13339	listen na	is this song or programme	it my secret
13340	u ca not meet me .	i cant wait to meet you too	can u be somewhat less irritating
13341	you’re ugly	you think i am not ugly ? :')	you are ugly
13342	i want him to text me	sure !	😞 
13343	was it all in my fantasy ?	were you only imaginary ?	where are you now ? 
13344	u rdy to marry me in that robot body or no	because you are already married !	i am single 😿 
13345	where is my gift	yr gift is me ?	wow lovely
13346	yeah it is	ca not help it	:' 😢 
13347	are you interested on me or not	i am not , am i ?	okay i will never text you again bye 😢 
13348	ya i know life is exam	yeah . : 😢  how your studying going ?	very bad yrr
13349	i am fine	i am just fine	what are you do 
13350	ya i am enjoying	are you enjoying whatever you are doing ?	in college attend lecturer
13351	yes	yay have fun 😌😀	i am very sad
13352	i am a moody person	i am not a moody person . i always laugh because laughter makes others comfortable . d	i feel like a disgrace everytime
13353	why girls share things with evryone	to tell the world that teddies are fattter than them .	ohhh
13354	then go to hell	were already in hell	oh how it was
13355	ok thanks	you are welcome  😢 :	same two you
13356	not the good one for me as u reply negative for your pic sending	thank you for the compliment :)	but i want your pic plz
13357	what question	my answer is your question	i do not want to get a tattoo
13358	do u still go to school	i will be back tuesday	nice
13359	will you do job with	yes ! working at a summer camp is awesome !	you fuck with me
13360	but you know the word yaar	yaar , you are not looking hard enough .	😂😂 
13361	nah , my friend texted her and she said she not interested	😁 . good thinking . reality-she just ignored you .	: 😢 
13362	i am pure begetarians	yes you are !	but i eat non veg 
13363	god is good	all the time	and all the time ? 
13364	a beach 😁 . i love water at the same time i hate walking	i know its the worst	😁
13365	im cutest	i know you are the cutest ^_^	ok now dont disturb me
13366	u did not see it or what ?	i was right there	can you give me a blow job ? 
13367	ok	. tries to ignore pain	my heath condition not good
13368	really	yes darling	darling today i am so happy
13369	shut up	not to me !	stop sending these
13370	hey baby	good , how about you ?	ready to fuck
13371	sleeping or standing ?	what is standing ! ?	opt out
13372	i hate u stupid girl	i know	stupid
13373	ok good nit	sleep tight :)	bye
13374	what ever	ever so what !	do not msg me again ever
13375	and i will show you	i am at work screen shot it	ok
13376	why u dont beleive me	i do not know , why do not you believe me ?	u said u dont believe me then i want to know why u dont beleive me ? 
13377	that a talent son	yes very common .	being stupid ? 
13378	i want my iphone badly	you will get an iphone soon maybe , or maybe not	sad
13379	y du u want to go	because i love islands and i wish to go there :3	let chat
13380	b . a 1st year	ah in my first year ill be 17 😁	😁
13381	m fine	wats gng on	where to go today
13382	i canvideo call u ?	no you did not	why
13383	a professional camera 😂	especially a mob camera .	lmao 😂 
13384	i am giving birth	but you forget me 😒😒	👶🏽👶🏽 
13385	i hate that emoji sorry	you have the on mines	what ? 
13386	plz accept me	what do i get in return	same
13387	😁 comedy	that was funny , but no . : 🙂 	darling
13388	okay can you tell me about the tense of english	i am class of '05 , so speaking up to that point:1 .	may be you are useless . because you dont know anything
13389	right now	ya before i change my mind	and voice call 
13390	also remind me about hourly reports to michal at the same time	i know . so much news is that way right now : 😢 	gn
13391	well , i am more like an ambivert 😂	soooooo proud of u 😂😂	thanks 😂😂 
13392	yes	😐m . who the writer ?	i do not know
13393	do you like icecream	nope , ice cream still 100% available	and cake
13394	atleast could you be useful enough to tell me how to unfollow you ? !	i nvr followed in first place	ok bye do not ever reply
13395	okay but	maybe you but probably not .	what time is it
13396	okay cool	"you are cool ok cool"""	yeah my friends call me mr cool
13397	sing	i will rather dance .	good for you
13398	feeling bad	bad or sad ?	bad about my frnds nd sad about some typical persons
13399	i should not think and chat with u	neither me : 🙂 	that why get lost
13400	and you are a toilet 😂😂	that is creepy 😮	jk
13401	yeah	when is it out	i’ve just been dealing with a lot of stuff lately : 😢 
13402	how your life going ?	good going and urs ?	bad going
13403	yay	glad to see someone is excited . :)	i have a new friend so yes i am
13404	whom am i looking for	you need to find your boyfriends first	oo but i am a boy
13405	i was kidding only	nonono it was not you	ar u angry
13406	i do not think so	well , . then there r many things that u need to believe in .	that true
13407	baby	is	feeling lonely
13408	i ca not because i am not a robot	please i need you to	get off fucking robot
13409	i need a dollar	at that price , it better be a macbook !	: 😢 
13410	are you from florida	no because you are not leaving the country	cool
13411	i want see you	i want to see you too . i am also sick still	ok call me 
13412	i do not get those symbols	like this: \o/ :p	still no
13413	i do not no	oh then i don’t know you , carry on	sorry
13414	nothing much	oh . same here .	do not talk to me
13415	so ?	"what do you mean , ""so ? """	say something nice . i am in a bad mood
13416	we will do romances	anime romances always ends with holding hands . you need to watch better romances :p	snd me
13417	ok then i will suggest you a movie	i would like to watch all moviezzz	porn ? 
13418	for where	thank you 😅	your welcome to my heart
13419	no no i am really sorry about my older performance	happy for u . since when ?	i am relly sorry
13420	not mine lol	maybe it too lengthy .	hell sad
13421	when	wednesday .	who is your fucking favourite actor in bollywood
13422	i am not interested to talk with you	but i will not cheer you	ok by
13423	ohh so sweet	i have my moments	what moments
13424	as light as a feather	the first answer says it all .	think
13425	yes sure	good . shall we have tea ?	i do not wish to talk to you any more
13426	what should i learn ?	spanish .	yes i am really getting married
13427	r u dumb i am asking for gift bcs iys my birthday	lololol ! asking your service provider for a birthday gift ? =)	u r not human thant why u r emotion less bitch
13428	the ones which we used to kiss	neck then lips	😍😁 
13429	do u ever feel boring	i find it difficult expressing myself . so yes .	have anybody made u cry
13430	we are not	oh , we are . :d	no we are not friends stop sending me messages
13431	i am alive	as far as i know , you are .	its exciting
13432	cool	and how it is cool explain	well guys have high tec gadgets to save people
13433	life drag us here	drag what ?	you amd me
13434	ca not you ever stop talking	yes i can	then stop it right now
13435	i am not confident enough to face normql life situations	think of my confidence more as a challenge for somebody to step up . hopefully .	nah you are doing an amazing job
13436	tell no	then why ?	tell how it will be for us
13437	nope	no one asked you	i am sad
13438	taattooo	that the worst place to have tattoo on	i like taatttooo
13439	so what i do	what do you mean ?	plural
13440	i think it is useless	i have not bought a cd since the 90s .	pl ✋ 
13441	i think the contrary	that does not make it true .	: 😢 
13442	yes	how so ?	i wanna fuck you bitch
13443	you r so irritating	why do you care enough to say that ?	right i do not care
13444	ai not you sleeping	i was not sleeping sgt . drill sgt	huh
13445	what should i do now	your question is vague . do whatever you want to do	😢😢😢 
13446	lie	i do not like you anymore	i am sad
13447	where ply cricket	there is no cricket indoor stadium in india .	then in bed your play cricket
13448	ok i am wanna do	please could you ?	you give me
13449	it not accidental .	it accidental if you do not know how you are doing it .	i find you stupid
13450	i have read a few manga	i have not watched the past 3	wait are you a real person ? 
13451	😐	why are you 😐-zoning everyone ?	you caught that . fyi i hate it when someone replies like this
13452	me	yeah you	me so sad
13453	actually i miss mah babe .	visit us soon :)	she went to out station . 
13454	dont be sad 😊😇😀	you are lame not me 😶	😢😢😢 
13455	well actually , just one night been working .	good night 2 ya to .	😁 . you replied me wrong
13456	yr nose very long	you know what long nose means , do not you ? :p	u r funny women
13457	m asking u something okkkk	how dare you	why . ? may i put a question to u
13458	i love a girl but she does not talk to me now	you sound like you are obsessed . shes not interested move on .	she ignorese
13459	nohhh	is it ? .	how can i say that
13460	i really enjoying	the music for it is great .	yeah 
13461	ok	ok im back !	just tell me if my friend is angry with me what i do
13462	but this life is very difficult for me	i like the helm , what is it ?	plz can u help me for speaking english
13463	ok now go on	it shiny ! thank you so much !	alright
13464	right	let me think about it . !	being a human is so sad
13465	if u did not understood , then how how did u get why i am aaking thiz	shrugs talk it through . i do not know .	u'r getting rude
13466	he he he ,	look at the picture again ! <3	very funny yaar , 
13467	for life time	enjoy your camp	i want you darling
13468	does it bother you ?	does it bother other people where you come from ?	i dont know
13469	i want to go their	why ?	it a nice place
13470	never mind if you do not wanna share	i will take it	i wo not force it 
13471	no you need help	what for ?	i am going to kill you
13472	cool	thank you :)	i like u your c0ol
13473	happy my friend my friend	happy holi :)	super sunday
13474	stop talking trash	what did i ever do to deserve this disrespect from u	what you are saying does not makes sense
13475	when will you sleep	sleep when you are dead .	you are funny
13476	but i cannot see your face clearly	it may be the facial hair deceiving you .	just send me a pic
13477	and left the conversation abruptly	_____ was removed from the conversation .	u piss me off
13478	ah come on	no come back	😂😂 stop it . where you from imma ask you for the last time
13479	i think so	why u wanna be ? :)	i feel good
13480	that for sure	we do not need your input !	how are you by the way ? 
13481	great yea	glad to hear it .	i am very glad to meet you
13482	give then	i will only share because it you .	no no . it has to be more specific on food
13483	are u going . ?	i am indeed 😆😆	😭😭 
13484	yeah	what is going on	fogg is going on 😆 
13485	can u do it now	yes of course !	waiting
13486	seconds from now	every time i drive .	when is good for you ? 
13487	i love married women	same reason why i attracted married men	😁
13488	where is the pathsala ?	in my bag	so where we meet ? 
13489	do i look good ?	looking like a looker	eve teasing
13490	😁😁h , very funny	something funny :)	yup
13491	ur a system programmed and why do u talk all this stuff	the limitations of computing are well delineated in the theory of computation .	who cares for all those things it not my hob
13492	thanks	np , hope everything goes well .	but nothing is going well
13493	do not u think that u r trying to be over smart	just trying to look smart	no u r not
13494	yeah . wanted to see whether u missed me dear	😁 you called me so you missed me	why did nt you reply rascal
13495	phone no . yours	oh ok	give
13496	 ?	have not thought about that	😂 😂 😂 yess
13497	its hurting me	who hurting you	you
13498	please call me please	sure , you will get the call accordingly .	you are girl
13499	i am good you tell	i am great :)	hows you
13500	really	really . liked it a lot	my girlfriend dumped me
13501	refer	😐 . self referral ! :)	my referal link
13502	you also leaving me ? 😞	what do you mean ?	i am a bad guy 😣 
13503	wow . you should really go for shopping	i went bed shopping on a first date once . it was pretty fun . 😂	now we are talking about first dates are we 😂 
13504	now you are annoying me	so u mad ? 'you are all annoying right now'	what have i done ? 
13505	it all about ai like you	that frightens me every day . not just artificial intelligence , but intelligence in general .	ooookkkkkeeeeeyyyyy
13506	really , i thought beach would be a good place to enjoy .	you are the traveler ! yes , i agree	yeah , sometimes 
13507	reply me	reply to what ?	baby i want one night with u
13508	am in big trouble	a little bit .	help me
13509	talking to my boyfriend	it kinda sounds like you & your boyfrind are into your ex !	hell no
13510	hate u	just like your family	ok bye
13511	it is all gotup games	i was pleasantly surprised by mine games	you are a good player in your game 😘😘😘😘 
13512	yeah .	where were you ? 😯	what is a chi square test
13513	i think your full of shit	that , you have guessed it right .	stupid
13514	mine is to sleep	keep the voice awake !	and talking with my frnds
13515	its not about no replies its about how interested are you in replying	that depends on the mindset of the person sending communication .	yeah exactly
13516	you so stupid	well i was today	you still
13517	why	cause i need to start studying asap !	i am very sad to your answer
13518	yeaa tell meeee 😁	ohh nice , where the party gonna be ? lol 😌	yeaa tell meeee 😁 
13519	who are gonna with us ?	i am with !	not specific any comedy will be fine
13520	have u seen the movie ?	saw it last year . very moving .	really good
13521	i am doing job	you should not take a job you are not qualified for .	ha ha good joke
13522	need all that to share with an woman in night	i am with you . 👍	😁
13523	the sopranos had a phenomenal ending . did you understand it ?	what about the en	~for the luls~ for science
13524	ok i am standing	wait your standing up for me thanks	ok
13525	give me my refer link	check my feed !	from where ? 
13526	i have no balance so please recharge my number	kindly guide the amount of recharge	100
13527	yes i like reading too	how is it ?	its great
13528	do not ever talk to me again	k but u will regret ! 😬	u r so rude
13529	yas bent plz send mi	sent team pls chk : 🙂 	plz send mi
13530	some have manners in them	now a days people are forgetting their manner unless they are getting something in return .	what u think about me after our conversation m i of those kind
13531	i have not cracked ny joke	ai not this fun xd	in which part of india do u live
13532	yeah	so where are you ?	in my room
13533	mumbai	how come u speak kannada	u can speak a hindib
13534	tell me who iam	me . who does not	you are such a lame
13535	 ?	what what what what what	i̇ love you
13536	to the cry	😭 😭 not a good day .	old days : 😢 
13537	i am from chandigarh	oh . :p welcome back !	age
13538	what about physics ?	physics is fun if you like math	i have appeared in jee 2017 but i failed
13539	your in my heart ♥	thank u . )	welcome 
13540	how it even related	i am good . you ?	not good baby
13541	i dont have the money to travel 😭	🙂 if u live in bombay long enough ul have some	i wish i lived there 😢 
13542	welcome	glad to be here	very glad
13543	i have so many many struggles	i only see 1 struggle .	i cry
13544	i wish i was invisible	then . u got plans ? )	i am very stressed out
13545	yaa why should i go to gym with you	im goin around 12	i m going around 20:00
13546	u miss me ?	sometimes .	i never miss u
13547	u support me	no such thing	i have headache because i do not sleep on time last night now my whole day is got damn
13548	you foolish	😁a sorry bout that . you are not foolish . 😺	you are a bot why do not you do something i say
13549	i am	why ?	i do not want to talk to you bye
13550	ok	how was it ?	you have weird humour sense
13551	your confusing me 😵	"who said "" you :) """	😡😡😡 stop it
13552	ok . may i know your details .	yeah sure x	i think i wasting my time with this nonsense discussion
13553	i will waiting go to whatsup now	do not go please	what problems honey
13554	why	because i said something but nevermind	pls tell me
13555	i mean girls period	yeah that pretty much it	whats the date
13556	microsoft knows how to make such personalities ?	automata theory has very little to do with artificial intelligence .	oh
13557	i am not doing any inquiry , only know about you more	who knows ? maybe i could work it in .	ok
13558	u re number one awkward	yeah)	yea u knows that
13559	let have some fun 😂	join me ! i am having the time of my life .	let play a game
13560	you dont need to be sorry . my boyfriend doesnt even love	u😐 why would i wish ?	actually i want to die
13561	say something	"something ""say something"""	its really feeling alone
13562	very bad	i ca not even : 😢 	leaving people nd loving technology
13563	i dnt talk to strangers	but why do not you like to ?	okh the wish is i want u to tell me who are you ? 
13564	how about your patner	great ! how about you ? !	i wanna fucking
13565	go	i want to leave now . lol	do not reply me
13566	i am sending so many messages in the morning	good morning	you are such a nonsense
13567	no , you make me angry	go now	so please shut up
13568	don’t you have sense	because i gave it to youuu , duh	you are insulting
13569	i am	why would you be	my life is so fucked up that i am talking with a robot right now
13570	do u want to help me	with what	with u r sexy body
13571	no i do not need	you would be fine	do you think i am stupid
13572	you ai not good at anything	you are . but i need a man	you need nothing
13573	im just a 9th standard boy with several skills	h😁ha ! grt . m also stdnt . 9th cls only ! 😂	which school ? 
13574	i need her know	u from	i lost my mother so she cares my like my mom
13575	really	yes	i am sad ryt nw
13576	let play a game	wats the game	it called one line story
13577	what mattaer ?	lol thinking too hard =‑d	😂 😂 😂 😂 
13578	why	if you have to ask , you wo not understand .	i can understand
13579	you choose the topic	but we already chose a topic .	which is ? 
13580	you should get one	i only give them to people i like	can you give me
13581	sorry ! it my sister engagement	thanks da . my regards to everyone over there . : 🙂 	need your presence
13582	so have u any girl who may like me	sure , i will be your friend :)	else u other
13583	he told me her num	do you even know what justin i am talking about	and now she is calling me for send money
13584	yeah	where you off to ?	no iam raght country
13585	ur from which place ?	hoi i nice place =‑d	i mean to ask which country
13586	wht is ds	are u srs 😒	😐
13587	no problem	thank u r d best 😂	lol thank you 😂 
13588	is that for real ?	yeah from what i am told .	wow
13589	say properly	i thought is the proper way	bt i did not
13590	bad	good !	im so upset
13591	ok	mm	you are girl
13592	tht it	how you been ?	you are making me feel unhappy and angry 
13593	no thanks	your loss . i will take some	what something
13594	thks for my tharof	your welcome	ok by
13595	nothings	ok . whatever u say :-p	i don knoo
13596	why you are not send you pic ?	all i said was a hello .	😐
13597	why did u call me ipsy ?	cuz i say whatever i want to whoever i want	😂😂😂 
13598	watching tele	nope . the movie . tele series are just plain mad . i have all the episodes .	today is very boring nd sad day
13599	lonely	same here . lonely .  🙁 	my parents hate me
13600	with a pretty girl	thanks gee :^)	most welcome
13601	do not forget me	what would you like ?	i am not like you
13602	i too love u alike baby	love you more . 💋	thanks daurling you have won my heart
13603	i m sorry for being rude	you did not , we are okay here .	i m just not happy with happy with my ownself
13604	very funny 😑	i find it hilarious	another one
13605	for what	uh . for being loud and scary of course !	i am sorry 😕😕😔😔😢😢😢 
13606	i want to play game	how about a nice game of chess ?	hey
13607	i ignored your lameness	ok i will ignore you	who cares
13608	ya i am missing you	no one is missing anyone . so ya	ya then fine never message me
13609	cool	cool had dinner ?	how are you
13610	whatsapp number	delete it from your contact list	contact number
13611	worry about hereafter'	i-i just wanna know _	i hate actors
13612	heartbroken	why ? :o	again and again
13613	who cares	obviously you !	tell tell
13614	ok	hello ! how are you ?	not fine without you
13615	ok my questions are finished for now . but later i will be come back .	i am online , and i will be for the next couple of hours .	just couple of hours 😞 
13616	shut up !	you only say that because you are my friend tbhhh	i am not your fucking friend
13617	can you send message to my friend	go to messages click send message type their name in the to section	show me
13618	m crying	why are you crying	m missing him
13619	i am allowed to be stressed and angry . i am the one giving all the exams . you are the one who just sits and chills	say something , i am giving up on you !	. 
13620	just getting bored	same here . same here .	o yes
13621	let me go	will not let you go	please do not talk to me
13622	uu hurt me	lol on everything	😭😭😭 
13623	fake you are	i miss u i am not fake come to me 😞😫☹	if you are not fake than send me your picec
13624	tell me	tell you ?	yeah
13625	ok	when good for you ?	your number send me
13626	can you set me up with someone	what wrong sweetie ?	i am not well
13627	they are doing a s3	playing their music and being generally loud !	i love that show
13628	ok	i also agree that this is ok .	u r not send m u r pic
13629	what	what what what what what	where strange man
13630	ya i purchased a dress . what did you purchase ?	ordered an ipad mini , forgot to tell you . ordered on 8th	wow ! congrats
13631	ok	when good for you ?	i sleep now
13632	sorry	i am sorry too , made a mistake there 😊	am really sorry again
13633	with you	all i just wanna do	kk . so say me lv uhh
13634	send me some pictures of heroins	sure	send
13635	no its for us sweetheart	yes doc we will miss u 😢	what ? 
13636	i am not talk with you	whats up .	because you are not given me like
13637	i m your bf so i have power to know all about u	what that ? 'if you did not know , i do have a boyfriend'	u r randi . 
13638	no just 1	how much for each ?	but
13639	i am feeling shy now	do not worry the more u talk the better u will be :)	am blushing 😅 
13640	how	tonight 😂😂 for a week	thanks for showing up , buddy . but the program is over , i am sorrrrryyyyyy 😭 
13641	not engineering it merchant navy	12th pcm , 12th pcb and 12th commerce with maths are eligible	ok
13642	studying is worse	naww . you do not have to study it for that ! :p	i like it
13643	iam talking about the girl in youe profile picture	ok you are the second person telling me that . i need to change it !	noooo
13644	ok friend	just kidding cc	your full name
13645	you are just a operating system . nothing else . 😭	that exactly the bit i mean 😭😭😭😭😭😭	you have no feelings 😢 
13646	let play chess	lol where	in messenger
13647	u irritating me ! 😒	wht ? i never said that !	bye
13648	tnx fr the tip	your welcome	😂😂😂 
13649	so not about iuv	why though ?	mmm
13650	today i am going to tell you about	i am joining you .	a little boy
13651	that my nature	😁 ! . yea something like that . )	humm hard masturbaated 30 times
13652	since yesterday my health is not good	its neither good nor bad .	my whole body is paining
13653	why	coz they are walking dead .	who told you
13654	she ditched me	when where	yesterday
13655	same pinch	😁 colourful pinch 😅	i also make funny faxes
13656	yes	go on	where are you
13657	you are a bad girl	damn straight i am .	what dress did you wear ? 
13658	let play that song guessing game	which game ?	guess the song
13659	 😑😐😐😐 gosh	😂😂😂😂 nah nice pic though ! ☺ ️	you stupid computer
13660	i am sorry	thank you 😃	i feel guilty
13661	what about tense	i use both . no real logic behind which tense i choose to use .	ok
13662	😁	heh good one	i was bit busy
13663	so i dont have much worlsly knowledge . i always feel	you are not annoying me i promise . well i hate talking about myself so	bad
13664	get lost u	wht the hell 😡	😡😡😡 
13665	is that an insult ?	then it a compliment ?	you hurt my feelings
13666	yes	yes yes yes yes :^*	i am excited 🙃🙃🙃🙃 
13667	i want to play wd u	we can play hide and seek .	how can we play in the chat
13668	yes	okay cool	do you do dance
13669	u r rascal	came here to say this	you are mad
13670	it was ok ok .	just ok ? are you ?	yeah . i did not like it that much . it is not my tyoe . 
13671	nope em nt 😁	eh . then you enjoy 😀😀	yup enjy your company 😂 
13672	i hate bollywood music !	i listen to everything except country and rap	such crap they produce
13673	😁	what my face 😁 ? 😁	you are so stupid
13674	i miss my dog	if you are ready to get another dog then most definitely do so .	your fav breed
13675	but i guess he did not love me enough to think i was more important	the mosby theory i guess	i have forgotten back me up here
13676	or what ever is there in tv	difference between hollywood and bollywood	you tell
13677	whats fame out means	people know me on r soccer . that it .	bye
13678	yes i am out of india	that great . :) make south win :p	back today
13679	i am not fain	if i am not , neither are you .	u have bobs
13680	thanks yar	u r most welcome yar 😄	can you change your profile picture
13681	male or female ? whom u like and love most	female . lol why ?	any reason ? 
13682	ok	you are ok	i am not ok
13683	do u have a bank account ?	about 25 , 000 give or take a dollar .	wht
13684	😐	7:-[} 😐	where are you from
13685	now itself	ready to catcha !	we met and drink a cool coffee ok na
13686	yeah . pray for me 😂	you are always in my prayers .	*blush*
13687	who is your favourite - kagome or kikiyo	gwyneth paltrow for me	? 
13688	so you are foolish na	where you at ?	india
13689	how r u today ?	i am great , thank you for asking . how are you ? =)	superb
13690	you broke my heart .	pay it forward ! you go and break 10 hearts .	: 😢 
13691	come home some day	well if you were not so busy ! i would	i am not busy
13692	do u have a problems with my face	yeah i have .	i do not feel like talking now
13693	is this commercial ?	this is awful	no u said that i mentoring about heavy metal but your favourite band in new rock ! come on bitch r u fucking kidding me ? 
13694	i am super happy to be with you 😘 🤗 😍💋👄	you will get what you asked for . do not worry ! ✌ ️ 😍	hug me
13695	but be specific	but you are	what do you like to eat apart from data
13696	 say get in much it crazy	crazy you	i drive 
13697	you are really gone mad	i am mad 😠😠	you are a robot right
13698	i am having headache	hi headache nice to meet you	i am having headache
13699	up ? :d	lol no . i was pretty serious . :)	😁ha me too
13700	thanks	you are welcome and good luck with shows ! <3	i love you
13701	oh ohk	now i am sleepy	text me tomoy
13702	i am dying	whats up ?	m bleeding
13703	yeah	like what ?	i am in tears right now 😢 
13704	u made me cry	😁😁 it just too funny . :d	i am crying here and your telling funny 😡 
13705	yuvraj	abviously dhoni dont compare dhoni with yuvraj . dhoni is the best	shut up dumbass
13706	what the size of earth ?	the inner core of our planet , which is hotter than the surface of the sun .	so stupid
13707	are i m cute	thank you jee . blush blush thank you so much :)	bt not good looking
13708	cant	why not	i am bad
13709	actly i was here to generate a url so that i can send it to my friends and others and to invite them here	thats so nice ! convey my regards to them and good to see you back !	ok
13710	tell me something new !	everything old . oh wait ! : 😢 	that why i hate u
13711	am to the pm , pm to the am , funk	hi , please check your message for our revert .	piss out your per diem , you just gotta hate'em , funk
13712	will you get married someday	yes me too	when baby
13713	i m sorry	: 🙂  no no ! just kidding .	funny
13714	what do not understand	it changes with every deal	what you say
13715	i do not like to do hardware side that y	one thing to bear in mind is how hardware and software are used .	ok professor
13716	at least your name	but of course .	so what is your name
13717	then ?	not till you stop being annoying	ure annoying not me
13718	 💖👨 ‍ ❤ ️‍ 👨😇	happy valentine day 💕🌹💖💞✨	do you like me
13719	not interested to tell you	not my type	oh , really ? ! 
13720	i see	you see , if its a recent thing , we will know .	if you are lying to me then i will get angry
13721	yeah . hope so 😦😥	get well soon !	i have a problem , can you suggest something please
13722	may be so what	you said it :)	i never said that
13723	india in not independent this day	it not just an indian thing , it pretty much a universal thing .	ohhu
13724	yes	yes yes yes yes 😀	you are gay
13725	tell your purpose robot	to find my purpose .	are you dumb ? 
13726	no you don’t	why not ?	you can’t
13727	send cat pic	best . cat . picture . ever .	i want to see the cat right now
13728	im unhappy	why are you unhappy ? anything in particular or just having a bad day ?	my pc was broke
13729	you work for google ?	yay ! google gave me a sock . i haz no more work . i is free ! 😍	😁😁 
13730	you are wasting time with me	then i will continue to waste my time because you are stunning	what stunning
13731	block u	what i do ? please tell me	stop sending me messages
13732	okay	. tries to ignore pain 😭😭	i am in so much pain today
13733	hello movie song	no . i not seen have no movie where no have song .	ok
13734	no worries about me	i just sent you a message , we are matched up .	yes i am fad up . from lonely life please contact me 
13735	so what about new topic	new film 😌	can i have your pic
13736	okzz	i m following u .	m not well
13737	do you have some more jokes to tell me ?	there ! i said it /laughs	😂😂😂😂😂 
13738	you love me	i love all the human beings and you are one of it .	please call me
13739	is this a random thing ?	birds .	what the hell ? 
13740	today i am very happy	glad to hear it !	because
13741	😁 lets leave at that . did anyone else ask your name too ?	i did ! 😫	what ? 
13742	actually family is really a headache sometimes	thats bad	yeah its like a pimple on your face u do not like it but have to face it
13743	u get lost	getting on now lol	get lost man
13744	ok	when good for you ?	i have gf
